"id_tps","id_comp","nom_comp","test_comp","cas_comp","rgcomp","debut","fin"
"185","0","Inconnu","563","53","1","17","22"
"192","1","Air Djibouti","340","24","1","23","29"
"192","2","Air France","169","14","1","23","29"
"192","4","Ethopian Airlines","449","29","1","23","29"
"192","7","Qatar Airways","224","11","1","23","29"
"192","9","Turkish Airlines","177","12","1","23","29"
"192","10","Vols spéciaux","8","1","1","23","29"
"199","1","Air Djibouti","469","27","2","30","5"
"199","2","Air France","310","24","2","30","5"
"199","4","Ethopian Airlines","667","42","2","30","5"
"199","7","Qatar Airways","426","20","2","30","5"
"199","9","Turkish Airlines","265","13","2","30","5"
"206","1","Air Djibouti","652","28","3","6","11"
"206","2","Air France","417","25","3","6","11"
"206","4","Ethopian Airlines","767","42","3","6","11"
"206","6","Fly Dubai","24","0","1","6","11"
"206","7","Qatar Airways","581","20","3","6","11"
"206","9","Turkish Airlines","310","13","3","6","11"
"206","10","Vols spéciaux","10","1","2","6","11"
