"id_tps","id_pays","nb_cas","nb_mort","nb_gueri","nb_teste"
"299","1","43035","1605","35067","128643"
"299","2","27233","612","12767","148750"
"299","3","66819","2139","44199","0"
"299","4","5725","75","4675","154640"
"299","5","13374","322","6345","171247"
"299","6","3","0","3","1820"
"299","7","134","4","127","4137"
"299","8","1304846","35307","1119366","3434801"
"299","9","115855","1738","74105","460606"
"299","10","4658","44","4521","43918"
"299","11","27711","907","25482","9348696"
"299","12","198291","1746","119415","2607733"
"299","13","73429","946","54049","1502707"
"299","14","7163","155","5282","39379"
"299","15","84523","333","82300","1894421"
"299","16","430496","6173","347849","2527134"
"299","17","249","7","234","41360"
"299","18","112870","1039","94337","2847856"
"299","19","525012","14106","32033","5419308"
