"rgmod","rgcont","id_pays","pays","pays_trad","pays_orig","population","continent","lien","nb_cas","nb_mort","nb_gueri","nb_teste","nb_actif","p_mort","p_gueri","p_actif","n_cas","n_gueri","n_mort","nb_rea"
"1","1","207","United States of America","Etats-Unis","Etats-Unis","331732757","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","11366379","251832","6935630","168155844","4178917","0.0222","0.6102","0.3677","138249","44016","579","20703"
"2","1","93","India","Inde","Inde","1385086067","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","8845617","130109","8247950","124836819","467558","0.0147","0.9324","0.0529","30715","44213","435","8944"
"3","2","28","Brazil","Brésil","Brésil","213127014","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","5863093","165811","5291511","21900000","405771","0.0283","0.9025","0.0692","14134","0","138","8318"
"4","1","69","France","France","France","65328048","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","1981827","44548","139810","19005625","1797469","0.0225","0.0705","0.9070","27228","670","302","4896"
"5","2","165","Russia","Russie","Russie","145958133","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","1925825","33186","1439985","68577003","452654","0.0172","0.7477","0.2350","22572","14456","352","2300"
"6","2","187","Spain","Espagne","Espagne","46761629","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","1492608","40769",,"19394289",,"0.0273",,,"0",,"0","3125"
"7","3","206","United Kingdom","Royaume-Uni","Royaume-Uni","68020236","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","1369318","51934",,"37918526",,"0.0379",,,"24962",,"168","1355"
"8","3","8","Argentina","Argentine","Argentine","45351219","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","1310491","35436","1129102","3452519","145953","0.0270","0.8616","0.1114","5645","9736","129","4365"
"9","4","43","Colombia","Colombie","Colombie","51085837","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","1198746","34031","1104956","5735021","59759","0.0284","0.9218","0.0499","7742","7380","202","2376"
"10","4","101","Italy","Italie","Italie","60428130","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","1178529","45229","420810","18878386","712490","0.0384","0.3571","0.6046","33979","9376","546","3422"
"11","5","129","Mexico","Mexique","Mexique","129439742","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","1003253","98259","745361","2604659","159633","0.0979","0.7429","0.1591","5860","4021","635","2941"
"12","6","156","Peru","Pérou","Pérou","33143099","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","937011","35231","863120","4802591","38660","0.0376","0.9211","0.0413","2112","2103","54","997"
"13","5","75","Germany","Allemagne","Allemagne","83884996","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","802944","12692","502300","25010416","287952","0.0158","0.6256","0.3586","14045","9200","73","3385"
"14","3","96","Iran","Iran","Iran","84394287","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","762068","41493","558818","5505070","161757","0.0544","0.7333","0.2123","12543","6071","459","5666"
"15","1","185","South Africa","Afrique du Sud","Afrique du Sud","59587901","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","751024","20241","693467","5110384","37316","0.0270","0.9234","0.0497","1842","206","35","546"
"16","6","158","Poland","Pologne","Pologne","37830907","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","712972","10348","294783","5563521","407841","0.0145","0.4135","0.5720","21854","12568","303","2114"
"17","7","204","Ukraine","Ukraine","Ukraine","43633734","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","535857","9603","241444","3876966","284810","0.0179","0.4506","0.5315","10681","2633","95","177"
"18","8","19","Belgium","Belgique","Belgique","11608626","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","531280","14303","32706","5458422","484271","0.0269","0.0616","0.9115","6268","673","197","1423"
"19","7","41","Chile","Chili","Chili","19177744","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","531273","14819","506700","4822677","9754","0.0279","0.9537","0.0184","1597","1457","42","721"
"20","4","97","Iraq","Irak","Irak","40555704","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","519152","11670","447039","3128402","60443","0.0225","0.8611","0.1164","2237","2813","47","357"
"21","5","94","Indonesia","Indonésie","Indonésie","274606038","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","467113","15211","391991","5055488","59911","0.0326","0.8392","0.1283","4106","3897","63",
"22","9","51","Czechia","Tchèque","Tchèque","10716485","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","460116","6208","327306","2776953","126602","0.0135","0.7114","0.2752","1887","4923","150","1110"
"23","10","141","Netherlands","Pays-Bas","Pays-Bas","17149188","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","447871","8486",,"3711716",,"0.0189",,,"5413",,"43","604"
"24","6","16","Bangladesh","Bangladesh","Bangladesh","165303831","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","432333","6194","349542","2541194","76597","0.0143","0.8085","0.1772","1837","1693","21",
"25","7","201","Turkey","Turquie","Turquie","84678630","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","414278","11507","353663","16156470","49108","0.0278","0.8537","0.1185","3223","2561","89","3439"
"26","8","157","Philippines","Philippines","Philippines","110125242","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","407838","7832","374329","5268410","25677","0.0192","0.9178","0.0630","1530","11290","41","1455"
"27","11","164","Romania","Roumanie","Roumanie","19188803","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","360281","8926","243832","3691062","107523","0.0248","0.6768","0.2984","7096","4781","113","1169"
"28","9","151","Pakistan","Pakistan","Pakistan","222481419","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","356904","7141","323225","4921050","26538","0.0200","0.9056","0.0744","2443","811","32","1377"
"29","10","175","Saudi Arabia","Arabie saoudite","Arabie saoudite","35015637","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","353255","5657","340304","8884878","7294","0.0160","0.9633","0.0206","305","357","16","810"
"30","11","100","Israel","Israel","Israel","9197590","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","323741","2732","313380","5051016","7629","0.0084","0.9680","0.0236","402","755","11","304"
